doc_id,sentence_id,token_id,token,pos,head_token_id,dep_rel,previous_token,previous_pos,intensified,movie,text,genero
text72,1,6,cierto,ADJ,3,advmod,",",PUNCT,0,kiki,"KOKIRI: Luce bien, cierto?",masculino
text75,1,5,negro,ADJ,4,amod,gato,NOUN,0,kiki,"KIKI: Un gato negro, trajes negros...Estoy toda en negro.",masculino
text75,1,8,negros,ADJ,7,amod,trajes,NOUN,0,kiki,"KIKI: Un gato negro, trajes negros...Estoy toda en negro.",masculino
text77,1,4,importante,ADJ,7,csubj,es,AUX,0,kiki,Lo que es importante es tu 'alma interior'.,femenino
text77,1,9,interior,ADJ,8,amod,alma,NOUN,0,kiki,Lo que es importante es tu 'alma interior'.,neutral
text78,2,7,interior,ADJ,6,amod,alma,NOUN,0,kiki,"KIKI: Sí, lo entiendo. Déjame la parte del 'alma interior' a mí.",neutral
text87,1,7,pequeña,ADJ,8,amod,mi,DET,0,kiki,"Hey, déjame ver a mi pequeña bruja. Te pareces mucho a tu",femenino
text88,1,4,joven,ADJ,1,acl,era,AUX,0,kiki,madre cuando era joven.,femenino
text89,1,7,alto-alto,ADJ,3,amod,',PROPN,0,kiki,"KIKI: Padre, álzame 'alto-alto, como cuando era pequeña.",masculino
text89,1,12,pequeña,ADJ,3,acl,era,AUX,0,kiki,"KIKI: Padre, álzame 'alto-alto, como cuando era pequeña.",femenino
text90,2,9,grande,ADJ,7,obj,tan,ADV,1,kiki,OKINO: Esta bien. (la levanta) Cuando te hiciste tan grande?...,neutral
text93,1,4,bueno,ADJ,1,acl,será,AUX,0,kiki,OKINO: Será bueno si encuentras un bonito pueblo.,masculino
text93,1,8,bonito,ADJ,9,amod,un,DET,0,kiki,OKINO: Será bueno si encuentras un bonito pueblo.,masculino
text94,1,3,cierto,ADJ,1,appos,:,PUNCT,0,kiki,KIKI: Cierto.,masculino
text99,1,5,gran,ADJ,6,amod,una,DET,0,kiki,AMIGA B: Una gran ciudad?,neutral
text101,2,2,celosas,ADJ,2,ROOT,estamos,AUX,0,kiki,"AMIGAS: Oh, que maravilla. Estamos celosas!",femenino
text108,2,3,bonita,ADJ,3,ROOT,está,AUX,0,kiki,"KIKI: Sí, la acabo de hacer. No está bonita?",femenino
text109,1,9,pequeña,ADJ,4,advcl,muy,ADV,1,kiki,KOKIRI: No lo está; es muy pequeña. Toma la escoba de mi Madre.,femenino
text110,1,9,vieja,ADJ,9,ROOT,muy,ADV,1,kiki,"KIKI: Oh, no! Es muy vieja.",femenino
text111,1,9,mejor,ADJ,3,csubj,la,DET,0,kiki,"KOKIRI: Es por eso que es la mejor. Ha sido usada mucho,",femenino
text113,1,6,duro,ADJ,4,advmod,tan,ADV,1,kiki,"KIKI: Pero trabajé tan duro para hacer esta. Cierto, Jiji?",masculino
text114,1,12,mejor,ADJ,3,ccomp,la,DET,0,kiki,JIJI: Creo que la escoba de tu madre es la mejor...,femenino
text116,1,7,establecida,ADJ,13,advcl,estés,AUX,0,kiki,"DORA: Kiki, cuando estés establecida en tu nuevo pueblo, puedes",femenino
text116,1,10,nuevo,ADJ,11,amod,tu,DET,0,kiki,"DORA: Kiki, cuando estés establecida en tu nuevo pueblo, puedes",masculino
text117,1,3,propia,ADJ,1,obj,una,DET,0,kiki,"hacerte una propia, cierto?",femenino
text122,1,5,mejor,ADJ,7,amod,lo,PRON,0,kiki,KOKIRI: Has lo mejor que puedas! Tómalo con calma! Asegúrate de,femenino
text127,1,5,torpe,ADJ,1,amod,",",PUNCT,0,kiki,"KOKIRI: Oh, torpe como siempre!",neutral
text134,2,8,ocupadas,ADJ,1,advcl,están,AUX,0,kiki,"KIKI: Jiji! Enciende la radio, mis manos están ocupadas! Rápido!",femenino
text137,1,3,buenas,ADJ,4,det,:,PUNCT,0,kiki,KIKI: Buenas noches.,femenino
text138,1,10,llegada,ADJ,1,acl,recién,ADV,0,kiki,"BRUJA: Bueno, bueno...eres una recién llegada?",femenino
text141,2,2,difícil,ADJ,2,ROOT,es,AUX,0,kiki,KIKI: Oh. Es difícil establecerce en un pueblo extraño?,neutral
text141,2,7,extraño,ADJ,6,amod,pueblo,NOUN,0,kiki,KIKI: Oh. Es difícil establecerce en un pueblo extraño?,masculino
text149,3,3,contenta,ADJ,3,ROOT,tan,ADV,1,kiki,BRUJA: Oh? Pronto terminaré mi entrenamiento. Estoy tan contenta,femenino
text151,3,4,grande,ADJ,4,ROOT,muy,ADV,1,kiki,"abajo) Ese es mi pueblo. No es muy grande, pero está",neutral
text152,2,6,mejor,ADJ,4,obj,lo,PRON,0,kiki,"bien. Y tú, da lo mejor también.",femenino
text155,1,4,esnob,ADJ,1,appos,qué,DET,0,kiki,JIJI: Qué esnob! Viste ese gato? Ehh...,neutral
text157,1,3,repentina,ADJ,4,amod,una,DET,0,kiki,(Una repentina tormenta...),femenino
text162,1,7,descubiertos,ADJ,1,acl,somos,AUX,0,kiki,"KIKI: Bueno, si somos descubiertos. Estoy completamente empadada.",masculino
text162,2,3,empadada,ADJ,3,ROOT,completamente,ADV,1,kiki,"KIKI: Bueno, si somos descubiertos. Estoy completamente empadada.",femenino
text165,1,5,siguiente,ADJ,4,amod,mañana,NOUN,0,kiki,(A la mañana siguiente...),neutral
text169,1,13,maravilloso,ADJ,12,amod,qué,DET,0,kiki,"KIKI: Jiji, es el mar, el mar! Qué maravilloso!",masculino
text170,1,3,primera,ADJ,4,amod,la,DET,0,kiki,Es la primera vez que veo el mar!,femenino
text171,1,3,gran,ADJ,4,amod,:,PUNCT,0,kiki,JIJI: Gran cosa! Es solo un montón de agua.,neutral
text172,1,9,grande,ADJ,8,amod,pueblo,NOUN,0,kiki,"KIKI: Mira, mira! Un pueblo grande! Me pregunto si habrá una",neutral
text181,2,3,hermoso,ADJ,3,ROOT,es,AUX,0,kiki,KIKI: Y puede que no. No es hermoso?,masculino
text182,1,8,grande,ADJ,1,acl,poco,ADV,1,kiki,JIJI: Este pueblo es un poco grande.,neutral
text185,1,3,buenos,ADJ,4,det,:,PUNCT,0,kiki,KIKI: Buenos días. Hay una bruja es este pueblo?,masculino
text193,2,5,buena,ADJ,7,amod,una,DET,0,kiki,KIKI: Sonríe. Tenemos de dar una buena primera impresión.,femenino
text193,2,6,primera,ADJ,7,amod,buena,ADJ,0,kiki,KIKI: Sonríe. Tenemos de dar una buena primera impresión.,femenino
text195,2,10,negro,ADJ,9,amod,gato,NOUN,0,kiki,"KIKI: Ahem...Soy Kiki, una bruja, y este gato negro es Jiji.",masculino
text197,1,3,hermoso,ADJ,3,ROOT,muy,ADV,1,kiki,"Es muy hermoso, y la torre del reloj es maravillosa.",masculino
text197,1,11,maravillosa,ADJ,3,conj,es,AUX,0,kiki,"Es muy hermoso, y la torre del reloj es maravillosa.",femenino
text198,2,3,contenta,ADJ,3,ROOT,muy,ADV,1,kiki,MUJER: De veras? Estoy muy contenta de que te guste aquí.,femenino
text202,1,1,gran,ADJ,2,amod,un,DET,0,kiki,gran accidente! Volar así por el pueblo es peligroso.,neutral
text202,2,7,peligroso,ADJ,7,ROOT,es,AUX,0,kiki,gran accidente! Volar así por el pueblo es peligroso.,masculino
text207,1,5,menor,ADJ,1,acl,una,DET,0,kiki,"POLICÍA: Eres una menor, cierto. Me pregunto si debo.",neutral
text212,1,8,genial,ADJ,7,advmod,funcionó,VERB,0,kiki,"TOMBO: Hey, aquí...Funcionó genial, cierto? Yo soy el que gritó",neutral
text212,1,10,cierto,ADJ,7,advmod,",",PUNCT,0,kiki,"TOMBO: Hey, aquí...Funcionó genial, cierto? Yo soy el que gritó",masculino
text219,1,9,grosero,ADJ,6,advcl,es,AUX,0,kiki,"uno no ha sido apropiadamente presentado, es grosero empezar",masculino
text221,1,11,igual,ADJ,7,amod,...,PUNCT,0,kiki,"TOMBO: De veras eres una bruja, cierto... igual que mi abuela.",neutral
text228,2,5,independientes,ADJ,4,obj,vuelven,VERB,0,kiki,KIKI: Soy una bruja. Las brujas se vuelven independientes cuando,neutral
text239,2,5,grande,ADJ,3,amod,más,ADV,1,kiki,JIJI: Encontremos otro pueblo. Hay un lugar más grande y mejor,neutral
text239,2,7,mejor,ADJ,5,conj,y,CCONJ,0,kiki,JIJI: Encontremos otro pueblo. Hay un lugar más grande y mejor,femenino
text240,1,7,seguro,ADJ,7,ROOT,estoy,AUX,0,kiki,"en algún otra parte, estoy seguro.",masculino
text248,1,1,cierto,ADJ,1,ROOT,",",PUNCT,0,kiki,cierto?,masculino
text251,1,7,volado,ADJ,6,iobj,ve,VERB,0,kiki,OSONO: Oh!...(la ve volado) Oho!...,masculino
text256,3,2,usual,ADJ,2,ROOT,lo,PRON,0,kiki,"OSONO: Gracias. Perdón por hacerlo esperar. Lo usual, cierto?",neutral
text256,3,4,cierto,ADJ,2,dep,",",PUNCT,0,kiki,"OSONO: Gracias. Perdón por hacerlo esperar. Lo usual, cierto?",masculino
text274,1,5,gran,ADJ,6,amod,un,DET,0,kiki,"OSONO: Es un gran pueblo, y hay todo tipo de personas. Pero a mí, me",neutral
text277,1,4,disponible,ADJ,3,amod,habitación,NOUN,0,kiki,Tenemos una habitación disponible que puedes usar.,neutral
text281,1,9,negro,ADJ,8,amod,gato,NOUN,0,kiki,"KIKI: Soy Kiki, y este gato negro es Jiji.",masculino
text282,1,4,polvoriento,ADJ,5,amod,un,DET,0,kiki,(En un polvoriento cuarto arriba...),masculino
text283,1,6,polvoriento,ADJ,1,acl,poco,ADV,1,kiki,"OSONO: Está un poco polvoriento, pero lo puedes acomodar a tu gusto.",masculino
text288,1,4,polvoriento,ADJ,1,acl,está,AUX,0,kiki,JIJI: Está polvoriento con harina.,masculino
text289,1,3,cierto,ADJ,1,appos,:,PUNCT,0,kiki,KIKI: Cierto.,masculino
text290,1,11,blanco,ADJ,10,amod,gato,NOUN,0,kiki,"JIJI: Creo que para mañana, seré un gato blanco.",masculino
text294,2,7,esnob,ADJ,7,ROOT,qué,DET,0,kiki,JIJI: Huh! Huh! Qué esnob!,neutral
text298,1,5,siguiente,ADJ,4,amod,mañana,NOUN,0,kiki,(A la mañana siguiente...),neutral
text303,1,3,buenos,ADJ,4,det,:,PUNCT,0,kiki,KIKI: Buenos días!,masculino
text304,1,3,buenos,ADJ,4,det,:,PUNCT,0,kiki,OSONO: Buenos días! Dormiste bien?,masculino
text308,1,8,única,ADJ,9,amod,la,DET,0,kiki,"KIKI: Ya que volar es la única habilidad que tengo, pensé,",femenino
text310,1,5,interensante,ADJ,4,obj,suena,VERB,0,kiki,OSONO: Eso suena interensante...un servicio de entregas volador.,neutral
text310,1,11,volador,ADJ,8,amod,entregas,NOUN,0,kiki,OSONO: Eso suena interensante...un servicio de entregas volador.,neutral
text311,1,4,buena,ADJ,5,amod,una,DET,0,kiki,Llegaste a una buena idea!,femenino
text313,1,9,contenta,ADJ,9,ROOT,muy,ADV,1,kiki,KIKI: De verdad?! Estoy muy contenta. Estoy pensando en ponerle,femenino
text315,1,6,costoso,ADJ,1,acl,muy,ADV,1,kiki,OSONO: No será muy costoso?,masculino
text318,2,3,difícil,ADJ,3,ROOT,será,AUX,0,kiki,de la panadería? Será difícil hasta que tengas una clientela,neutral
text319,1,1,regular,ADJ,1,ROOT,clientela,NOUN,0,kiki,"regular. Ya que estoy en esta condición, si me puedes en la",neutral
text322,1,9,duro,ADJ,7,advmod,muy,ADV,1,kiki,"KIKI: Oh, gracias! Trabajaré muy duro. Señora Osono, usted es una",masculino
text323,1,1,buena,ADJ,2,amod,una,DET,0,kiki,"buena persona, cierto!",femenino
text323,1,4,cierto,ADJ,2,advmod,",",PUNCT,0,kiki,"buena persona, cierto!",masculino
text330,1,8,terrible,ADJ,1,amod,es,AUX,0,kiki,CHICAS: (risas) Eso es terrible...Yo no lo...Pero él.....,neutral
text331,1,11,bonitos,ADJ,1,acl,más,ADV,1,kiki,KIKI: Sí sólo mis trajes fueran un poco más bonitos...,masculino
text336,1,4,suficiente,ADJ,5,amod,tienes,VERB,0,kiki,JIJI: Tienes suficiente dinero?,neutral
text338,1,5,hermosos,ADJ,1,acl,son,AUX,0,kiki,KIKI: No son hermosos?,masculino
text341,1,3,negro,ADJ,2,amod,traje,NOUN,0,kiki,"un traje negro. Hey, espera un minuto, Señorita Bruja!...",masculino
text349,1,7,regular,ADJ,6,amod,cliente,NOUN,0,kiki,OSONO: Esta es una cliente regular de la panadería. Cuando hable de,neutral
text350,1,9,perfecto,ADJ,6,ccomp,era,AUX,0,kiki,"tí en nuestra conservación, dijo que era perfecto.",masculino
text351,1,6,linda,ADJ,4,amod,tan,ADV,1,kiki,MAKI: Qué bruja tan linda!,femenino
text361,1,9,recta,ADJ,8,amod,línea,NOUN,0,kiki,KIKI: Puedo volar hasta allá en línea recta.,femenino
text364,1,7,suficiente,ADJ,3,ccomp,será,AUX,0,kiki,MAKI: Crees que esto será suficiente?,neutral
text367,1,13,genial,ADJ,1,advcl,eso,PRON,0,kiki,TOMBO: (Viendo a Kiki ascender...) No es eso genial?!,neutral
text371,1,7,alto,ADJ,3,amod,tan,ADV,0,kiki,"JIJI: Kiki, que tan alto planeas volar?",masculino
text372,1,8,primer,ADJ,9,amod,mi,DET,0,kiki,"KIKI: Bueno, este es mi primer trabajo--la policía no me molestará",neutral
text378,1,5,pronto,ADJ,1,acl,muy,ADV,1,kiki,JIJI: Es muy pronto para tomar una decisión.,masculino
text380,1,2,junto,ADJ,2,ROOT,(,PUNCT,0,kiki,(Junto a los gansos...),masculino
text381,2,2,hermosos,ADJ,2,ROOT,que,SCONJ,0,kiki,KIKI: Una bandada de gansos! Que hermosos! Van en la misma,masculino
text384,1,7,gran,ADJ,8,amod,un,DET,0,kiki,JIJI: Dicen que viene un gran viento!,neutral
text386,1,9,alto,ADJ,7,advmod,más,ADV,0,kiki,"JIJI: Ellos dicen, 'Volemos más alto.'",masculino
text388,1,8,relleno,ADJ,7,amod,gato,NOUN,0,kiki,"KIKI: (viendo caer el gato relleno) Oh, no!!",masculino
text395,3,3,alto,ADJ,4,amod,lo,PRON,0,kiki,KIKI: Tienes razón. No están en algo? Mira lo alto que están,masculino
text402,1,2,nuevo,ADJ,1,fixed,de,ADP,0,kiki,de nuevo'!,masculino
text405,1,1,vacía,ADJ,5,dep,caja,NOUN,0,kiki,"vacía) Hey, detente!!",femenino
text409,2,2,única,ADJ,3,amod,la,DET,0,kiki,KIKI: Pero eso fue hace mucho tiempo. La única cosa que podemos,femenino
text412,1,7,retrasados,ADJ,1,acl,estaremos,AUX,0,kiki,JIJI: Pero para entonces estaremos retrasados para nuestra entrega.,masculino
text413,1,11,último,ADJ,12,amod,un,DET,0,kiki,"KIKI: Jiji, tenemos que hacer esto como un último recurso.",masculino
text420,1,4,leve,ADJ,1,amod,tan,ADV,1,kiki,KIKI: Tan leve como sea posible.,neutral
text420,1,7,posible,ADJ,4,advcl,sea,AUX,0,kiki,KIKI: Tan leve como sea posible.,neutral
text422,1,12,extraño,ADJ,12,ROOT,que,SCONJ,0,kiki,KETTO: Este es el regalo de mi Tía! Que extraño! (risas),masculino
text423,1,9,cierto,ADJ,5,dep,",",PUNCT,0,kiki,"LA MADRE:Te tomó mucho tiempo, cierto? Mi hermana llamó, así que",masculino
text430,1,3,muchísimas,ADJ,4,det,:,PUNCT,0,kiki,KIKI: Muchísimas gracias.,femenino
text442,1,5,negro,ADJ,4,amod,gato,NOUN,0,kiki,KIKI: Ese gato negro relleno en la ventana. Es algo que perdí.,masculino
text442,1,6,relleno,ADJ,4,amod,negro,ADJ,0,kiki,KIKI: Ese gato negro relleno en la ventana. Es algo que perdí.,masculino
text443,1,9,lindo,ADJ,10,amod,un,DET,0,kiki,"URSULA: (al cuervo) Eres un lindo pajarito, cierto. Ahora, no",masculino
text443,1,12,cierto,ADJ,10,advmod,",",PUNCT,0,kiki,"URSULA: (al cuervo) Eres un lindo pajarito, cierto. Ahora, no",masculino
text446,1,11,mismo,ADJ,10,advmod,ahora,ADV,0,kiki,URSULA: Solo un minuto; no quiero parar ahora mismo. (al cuervo),masculino
text447,2,3,precioso,ADJ,3,ROOT,es,AUX,0,kiki,Eso está bien. No es precioso.,masculino
text450,1,5,lindo,ADJ,1,ccomp,muy,ADV,1,kiki,Pensé que era muy lindo.,masculino
text451,2,4,descosido,ADJ,4,ROOT,está,AUX,0,kiki,"KIKI: Gracias! Oh, está descosido!",masculino
text465,1,3,terminado,ADJ,1,acl,:,PUNCT,0,kiki,URSULA: Terminado!,masculino
text472,1,12,divertido,ADJ,1,acl,muy,ADV,1,kiki,KETTO: Jeff (el perro) de verdad es muy divertido. (risa),masculino
text473,1,6,cómico,ADJ,2,acl,tan,ADV,1,kiki,"LA MADRE: Es tan cómico; Jeff le ha tomado gusto a ese gato relleno,",masculino
text473,1,16,relleno,ADJ,15,amod,gato,NOUN,0,kiki,"LA MADRE: Es tan cómico; Jeff le ha tomado gusto a ese gato relleno,",masculino
text475,1,1,invitado,ADJ,1,ROOT,.,PUNCT,0,kiki,INVITADO A: Me pregunto si él piensa que es un cachorro?,masculino
text481,1,1,invitado,ADJ,1,ROOT,.,PUNCT,0,kiki,"INVITADO A: Jeff realmente ha envejecido, cierto? Tienes que ser bueno",masculino
text481,1,9,cierto,ADJ,7,advmod,",",PUNCT,0,kiki,"INVITADO A: Jeff realmente ha envejecido, cierto? Tienes que ser bueno",masculino
text481,2,4,bueno,ADJ,1,conj,ser,AUX,0,kiki,"INVITADO A: Jeff realmente ha envejecido, cierto? Tienes que ser bueno",masculino
text484,1,1,invitado,ADJ,1,ROOT,.,PUNCT,0,kiki,INVITADO A: Esa no es la verdad!,masculino
text493,1,4,relleno,ADJ,3,amod,gato,NOUN,0,kiki,reemplazará el gato relleno.,masculino
text496,1,6,tieso,ADJ,5,obj,sientes,VERB,0,kiki,KIKI: Todavía te sientes tieso?,masculino
text497,1,4,hambriento,ADJ,1,acl,estoy,AUX,0,kiki,JIJI: Estoy hambriento.,masculino
text498,2,2,muerta,ADJ,2,ROOT,estoy,AUX,0,kiki,KIKI: Tienes razón. Estoy muerta de cansancio también. Pero fue,femenino
text499,1,3,maravilloso,ADJ,2,amod,día,NOUN,0,kiki,"un día maravilloso. Y sabes, la persona que encontró el",masculino
text500,1,2,relleno,ADJ,1,amod,gato,NOUN,0,kiki,gato relleno por mí quiere pintar una pintura conmigo como,masculino
text502,1,3,desnuda,ADJ,1,amod,:,PUNCT,0,kiki,JIJI: Desnuda?,femenino
text503,1,3,estúpido,ADJ,1,appos,:,PUNCT,0,kiki,KIKI: Estúpido!,masculino
text505,1,4,lento,ADJ,1,acl,qué,DET,0,kiki,KIKI: Qué lento está esto...,masculino
text508,1,8,solo,ADJ,9,amod,un,DET,0,kiki,KIKI: Pero no viene ni un solo cliente.,masculino
text511,1,9,largo,ADJ,10,amod,un,DET,0,kiki,"Jiji, si esto sigue así por un largo, la-a-a-a-rgo tiempo,",masculino
text515,1,14,quemados,ADJ,7,advcl,están,AUX,0,kiki,"JIJI: A mí, me gustan los panqueques...si no están quemados.",masculino
text516,2,6,fácil,ADJ,5,amod,vida,NOUN,0,kiki,"KIKI: Huh. Los gatos tienen una vida fácil. Bueno, no me",neutral
text517,1,7,redondo,ADJ,3,xcomp,tan,ADV,1,kiki,culpes si llegas a ser tan redondo como un panqueque...!,masculino
text518,1,5,bonita,ADJ,1,acl,es,AUX,0,kiki,KIKI: No es bonita? escuché que es una diseñadora de modas.,femenino
text524,2,9,azul,ADJ,8,amod,techo,NOUN,0,kiki,puede dar su dirección? Sí...Sí... una casa con techo azul.,neutral
text531,1,6,formal,ADJ,5,amod,evento,NOUN,0,kiki,TOMBO: Es un evento formal. Todos están ansiosos de escuchar tu,neutral
text531,2,3,ansiosos,ADJ,3,ROOT,están,AUX,0,kiki,TOMBO: Es un evento formal. Todos están ansiosos de escuchar tu,masculino
text551,1,6,lindo,ADJ,1,amod,eso,PRON,0,kiki,OSONO: No es eso lindo. Deberías ir.,masculino
text553,1,7,preocupada,ADJ,1,acl,estás,AUX,0,kiki,"OSONO: Así que, estás preocupada por eso? Es un muy bonito vestido,",femenino
text553,2,4,bonito,ADJ,5,amod,muy,ADV,1,kiki,"OSONO: Así que, estás preocupada por eso? Es un muy bonito vestido,",masculino
text561,1,4,enojada,ADJ,1,acl,estabas,AUX,0,kiki,"JIJI: Estabas enojada con ese chico, y ahora vas a ir a su fiesta?!",femenino
text563,1,2,pesado,ADJ,2,ROOT,muy,ADV,1,kiki,muy pesado!,masculino
text566,1,3,nuevo,ADJ,2,fixed,de,ADP,0,kiki,(De nuevo en el aire...),masculino
text567,1,3,siguiente,ADJ,1,amod,:,PUNCT,0,kiki,"KIKI: Siguiente, tenemos una cita a las 4:30. Es un techo azul.",neutral
text567,2,4,azul,ADJ,3,amod,techo,NOUN,0,kiki,"KIKI: Siguiente, tenemos una cita a las 4:30. Es un techo azul.",neutral
text570,2,5,cierto,ADJ,2,advmod,",",PUNCT,0,kiki,"BERTHA: Sí, pasa. Estás a tiempo, cierto.",masculino
text573,4,5,acordada,ADJ,4,amod,hora,NOUN,0,kiki,"SEÑORA: Oh, no. Que problema. Qué hago? Ya es la hora acordada?",femenino
text576,2,3,negro,ADJ,2,amod,gato,NOUN,0,kiki,BERTHA: Tomaré eso por tí. Un gato negro y una escoba. Justo como,masculino
text579,2,4,linda,ADJ,2,amod,tan,ADV,1,kiki,"SEÑORA: Bueno, bueno. Que bruja tan linda. Pero sabes, la comida",femenino
text580,1,9,lista,ADJ,9,ROOT,está,AUX,0,kiki,que iba a darte para entregar no está lista aún.,femenino
text581,2,3,extraño,ADJ,3,ROOT,es,AUX,0,kiki,La temperatura del horno no quiere subir. No es extraño?,masculino
text583,1,6,acabado,ADJ,5,amod,plato,NOUN,0,kiki,Pensé que entregaras un plato acabado de sacar del horno,masculino
text595,1,4,buen,ADJ,5,amod,un,DET,0,kiki,usado por un buen tiempo.,neutral
text599,1,5,gran,ADJ,6,amod,una,DET,0,kiki,"BERTHA: Es una gran idea. No me gustan los hornos eléctricos, pero",neutral
text599,2,6,eléctricos,ADJ,5,amod,hornos,NOUN,0,kiki,"BERTHA: Es una gran idea. No me gustan los hornos eléctricos, pero",masculino
text610,2,3,emocionante,ADJ,2,amod,algo,PRON,0,kiki,"Tienes todo en orden. Es algo emocionante, cierto?",neutral
text610,2,5,cierto,ADJ,2,dep,",",PUNCT,0,kiki,"Tienes todo en orden. Es algo emocionante, cierto?",masculino
